work_index	section	work_title	source_path	source_format	source_parts	output_path	global_transposition	status	error
137	Secular works for five voices	Or, che in gioia	data/cpdl/137_or_che_in_gioia__02_or_che_in_gioia_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/137_or_che_in_gioia__quartet_plus_viole_sweetspot.musicxml	1	ok	
138	Secular works for five voices	Poichè l'avida sete	data/cpdl/138_poiche_l_avida_sete__02_gesu_17poi.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/138_poich_l_avida_sete__quartet_plus_viole_sweetspot.musicxml	4	ok	
139	Secular works for five voices	Qual fora, donna	data/cpdl/139_qual_fora_donna__02_gesu_6qu.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/139_qual_fora_donna__quartet_plus_viole_sweetspot.musicxml	4	ok	
140	Secular works for five voices	Quando l'alba novella	data/cpdl/140_quando_l_alba_novella__02_gesualdo_quando_l_alba_novella.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/140_quando_l_alba_novella__quartet_plus_viole_sweetspot.musicxml	1	ok	
141	Secular works for five voices	Quando ridente e bella	data/cpdl/141_quando_ridente_e_bella__02_quando_ridente_e_bella_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/141_quando_ridente_e_bella__quartet_plus_viole_sweetspot.musicxml	1	ok	
143	Secular works for five voices	Quel 'no' crudel che la mia speme ancise	data/cpdl/143_quel_no_crudel_che_la_mia_speme_ancise__02_quel_no_crudel_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/143_quel_no_crudel_che_la_mia_speme_ancise__quartet_plus_viole_sweetspot.musicxml	1	ok	
144	Secular works for five voices	Questa crudele e pia	data/cpdl/144_questa_crudele_e_pia__02_questa_crudele_et_pia_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/144_questa_crudele_e_pia__quartet_plus_viole_sweetspot.musicxml	2	ok	
145	Secular works for five voices	Questi leggiadri odorosetti fiori	data/cpdl/145_questi_leggiadri_odorosetti_fiori__02_gesualdo_questi_cpdl.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/145_questi_leggiadri_odorosetti_fiori__quartet_plus_viole_sweetspot.musicxml	4	ok	
146	Secular works for five voices	Resta di darmi noia	data/cpdl/146_resta_di_darmi_noia__02_resta_di_darmi_noia_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/146_resta_di_darmi_noia__quartet_plus_viole_sweetspot.musicxml	1	ok	
147	Secular works for five voices	S'io non miro non moro	data/cpdl/147_s_io_non_miro_non_moro__02_sio_non_miro_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/147_s_io_non_miro_non_moro__quartet_plus_viole_sweetspot.musicxml	1	ok	
148	Secular works for five voices	Se chiudete nel core	data/cpdl/148_se_chiudete_nel_core__02_se_chiudete_nel_core_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/148_se_chiudete_nel_core__quartet_plus_viole_sweetspot.musicxml	0	ok	
149	Secular works for five voices	Se così dolce è il duolo	data/cpdl/149_se_cosi_dolce_e_il_duolo__01_gesualdo_se_cosi_dolce_e_il_duolo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/149_se_cos_dolce_il_duolo__quartet_plus_viole_sweetspot.musicxml	6	ok	
150	Secular works for five voices	Se da sì nobil mano	data/cpdl/150_se_da_si_nobil_mano__01_gesualdo_se_da_si_nobil_mano.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/150_se_da_s_nobil_mano__quartet_plus_viole_sweetspot.musicxml	1	ok	
151	Secular works for five voices	Se la mia morte brami	data/cpdl/151_se_la_mia_morte_brami__02_gesualdo_se_la_mia_morte_brami.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/151_se_la_mia_morte_brami__quartet_plus_viole_sweetspot.musicxml	2	ok	
152	Secular works for five voices	Se per lieve ferita	data/cpdl/152_se_per_lieve_ferita__02_4_se_per_lieve_ferita.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/152_se_per_lieve_ferita__quartet_plus_viole_sweetspot.musicxml	3	ok	
153	Secular works for five voices	Se piange, ahimè, la donna del mio core	data/cpdl/153_se_piange_ahime_la_donna_del_mio_core__01_gesualdo_se_piange_oime_la_donna_del_mio_core.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/153_se_piange_ahim_la_donna_del_mio_core__quartet_plus_viole_sweetspot.musicxml	2	ok	
154	Secular works for five voices	Se taccio, il duol s'avanza	data/cpdl/154_se_taccio_il_duol_s_avanza__02_gesualdo_se_taccio_il_duol_s_avanza.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/154_se_taccio_il_duol_s_avanza__quartet_plus_viole_sweetspot.musicxml	4	ok	
155	Secular works for five voices	Se tu fuggi	data/cpdl/155_se_tu_fuggi__02_gesu_20se.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/155_se_tu_fuggi__quartet_plus_viole_sweetspot.musicxml	1	ok	
156	Secular works for five voices	Se vi duol il mio duolo	data/cpdl/156_se_vi_duol_il_mio_duolo__01_gesu_8se.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/156_se_vi_duol_il_mio_duolo__quartet_plus_viole_sweetspot.musicxml	4	ok	
157	Secular works for five voices	Se vi miro pietosa				data/cpdl_reductions/five_voice_quartet_plus_viole/157_se_vi_miro_pietosa__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/157_se_vi_miro_pietosa__01_gesualdo_se_vi_miro_pietosa.mxl: reduction failed: Violin I has overlapping source events near measure 21: p0:e51
158	Secular works for five voices	Sento che nel partire	data/cpdl/158_sento_che_nel_partire__01_gesualdo_sento_che_nel_partire.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/158_sento_che_nel_partire__quartet_plus_viole_sweetspot.musicxml	6	ok	
159	Secular works for five voices	Son sì belle le rose	data/cpdl/159_son_si_belle_le_rose__01_gesualdo_son_si_belle_le_rose.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/159_son_s_belle_le_rose__quartet_plus_viole_sweetspot.musicxml	0	ok	
160	Secular works for five voices	Sospirava	data/cpdl/160_sospirava__02_sospirava_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/160_sospirava__quartet_plus_viole_sweetspot.musicxml	1	ok	
161	Secular works for five voices	Sparge la morte	data/cpdl/161_sparge_la_morte__02_sparge_la_morte_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/161_sparge_la_morte__quartet_plus_viole_sweetspot.musicxml	6	ok	
162	Secular works for five voices	Sì gioioso mi fanno i dolor miei	data/cpdl/162_si_gioioso_mi_fanno_i_dolor_miei__01_gesualdo_si_gioioso_mi_fanno_i_dolor_miei.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/162_s_gioioso_mi_fanno_i_dolor_miei__quartet_plus_viole_sweetspot.musicxml	4	ok	
163	Secular works for five voices	T'amo, mia vita	data/cpdl/163_t_amo_mia_vita__02_t_amo_mia_vita_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/163_t_amo_mia_vita__quartet_plus_viole_sweetspot.musicxml	1	ok	
164	Secular works for five voices	Tall'or sano desio	data/cpdl/164_tall_or_sano_desio__02_tall_or_sano_desio_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/164_tall_or_sano_desio__quartet_plus_viole_sweetspot.musicxml	-1	ok	
165	Secular works for five voices	Tirsi morir volea	data/cpdl/165_tirsi_morir_volea__03_gesualdo_tirsi_morir_volea.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/165_tirsi_morir_volea__quartet_plus_viole_sweetspot.musicxml	3	ok	
166	Secular works for five voices	Tu m'uccidi, o crudele	data/cpdl/166_tu_m_uccidi_o_crudele__04_gesu_15tu.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/166_tu_m_uccidi_o_crudele__quartet_plus_viole_sweetspot.musicxml	3	ok	
167	Secular works for five voices	Tu piangi, o Filli mia	data/cpdl/167_tu_piangi_o_filli_mia__02_tu_piangi_o_filli_mia_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/167_tu_piangi_o_filli_mia__quartet_plus_viole_sweetspot.musicxml	2	ok	
168	Secular works for five voices	Tu segui, o bella Clori	data/cpdl/168_tu_segui_o_bella_clori__02_tu_segui_o_bella_clori_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/168_tu_segui_o_bella_clori__quartet_plus_viole_sweetspot.musicxml	2	ok	
169	Secular works for five voices	Veggio sì, dal mio sole				data/cpdl_reductions/five_voice_quartet_plus_viole/169_veggio_s_dal_mio_sole__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/169_veggio_si_dal_mio_sole__01_gesualdo_veggio_si_dal_mio_sole.mxl: reduction failed: Violin II has overlapping source events near measure 22: p1:e55
170	Secular works for five voices	Voi volete ch'io mora	data/cpdl/170_voi_volete_ch_io_mora__01_gesualdo_voi_volete_ch_io_mora.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/170_voi_volete_ch_io_mora__quartet_plus_viole_sweetspot.musicxml	4	ok	
171	Secular works for five voices	Volan quasi farfalle	data/cpdl/171_volan_quasi_farfalle__02_volan_quasi_farfalle_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/171_volan_quasi_farfalle__quartet_plus_viole_sweetspot.musicxml	1	ok	
