work_index	section	work_title	work_url	download_index	format	local_path	download_url	source_filename
17	Sacred works for five voices	Sancti Spiritus Domine	https://test.cpdl.org/wiki/index.php/Sancti_Spiritus_Domine_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/017_sancti_spiritus_domine__02_gesualdo_sancti_spiritus_domine.mxl	https://test.cpdl.org/wiki/images/9/99/Gesualdo-Sancti_Spiritus_Domine.mxl	Gesualdo-Sancti_Spiritus_Domine.mxl
18	Sacred works for five voices	Tribularer si nescirem	https://test.cpdl.org/wiki/index.php/Tribularer_si_nescirem_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/018_tribularer_si_nescirem__01_gesualdo_tribularer19.mid	https://test.cpdl.org/wiki/images/b/b6/Gesualdo-Tribularer19.mid	Gesualdo-Tribularer19.mid
18	Sacred works for five voices	Tribularer si nescirem	https://test.cpdl.org/wiki/index.php/Tribularer_si_nescirem_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/018_tribularer_si_nescirem__02_gesualdo_tribularer19.mxl	https://test.cpdl.org/wiki/images/1/1a/Gesualdo-Tribularer19.mxl	Gesualdo-Tribularer19.mxl
19	Sacred works for five voices	Tribulationem et dolorem	https://test.cpdl.org/wiki/index.php/Tribulationem_et_dolorem_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/019_tribulationem_et_dolorem__01_tribulationem_et_dolorem_gesualdo.mid	https://test.cpdl.org/wiki/images/7/7b/Tribulationem_et_dolorem_Gesualdo.mid	Tribulationem_et_dolorem_Gesualdo.mid
19	Sacred works for five voices	Tribulationem et dolorem	https://test.cpdl.org/wiki/index.php/Tribulationem_et_dolorem_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/019_tribulationem_et_dolorem__02_tribulationem_et_dolorem_gesualdo.mxl	https://test.cpdl.org/wiki/images/4/4c/Tribulationem_et_dolorem_Gesualdo.mxl	Tribulationem_et_dolorem_Gesualdo.mxl
19	Sacred works for five voices	Tribulationem et dolorem	https://test.cpdl.org/wiki/index.php/Tribulationem_et_dolorem_(Carlo_Gesualdo)	3	mid	data/cpdl/5-voices/sources/019_tribulationem_et_dolorem__03_gesualdo_tribulationem_et_dolorem.mid	https://test.cpdl.org/wiki/images/7/7c/Gesualdo_-_Tribulationem_et_dolorem.mid	Gesualdo_-_Tribulationem_et_dolorem.mid
20	Sacred works for five voices	Venit lumen tuum	https://test.cpdl.org/wiki/index.php/Venit_lumen_tuum_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/020_venit_lumen_tuum__01_gesu_ven.mid	https://test.cpdl.org/wiki/images/c/cf/Gesu-ven.MID	Gesu-ven.MID
20	Sacred works for five voices	Venit lumen tuum	https://test.cpdl.org/wiki/index.php/Venit_lumen_tuum_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/020_venit_lumen_tuum__02_gesu_ven.mxl	https://test.cpdl.org/wiki/images/d/db/Gesu-ven.mxl	Gesu-ven.mxl
21	Sacred works for six voices	Ad te levavi animam meam	https://test.cpdl.org/wiki/index.php/Ad_te_levavi_animam_meam_(Carlo_Gesualdo)	1	midi	data/cpdl/6-voices/sources/021_ad_te_levavi_animam_meam__01_17_ad_te_levavi_animam_meam.midi	https://test.cpdl.org/wiki/images/9/97/17_Ad_te_levavi_animam_meam.midi	17_Ad_te_levavi_animam_meam.midi
21	Sacred works for six voices	Ad te levavi animam meam	https://test.cpdl.org/wiki/index.php/Ad_te_levavi_animam_meam_(Carlo_Gesualdo)	2	mxl	data/cpdl/6-voices/sources/021_ad_te_levavi_animam_meam__02_17_ad_te_levavi_animam_meam.mxl	https://test.cpdl.org/wiki/images/6/60/17_Ad_te_levavi_animam_meam.mxl	17_Ad_te_levavi_animam_meam.mxl
22	Sacred works for six voices	Adoramus te Christe	https://test.cpdl.org/wiki/index.php/Adoramus_te_Christe_(Carlo_Gesualdo)	1	mxl	data/cpdl/6-voices/sources/022_adoramus_te_christe__01_10_adoramus_te_christe.mxl	https://test.cpdl.org/wiki/images/9/9a/10_Adoramus_te_Christe.mxl	10_Adoramus_te_Christe.mxl
23	Sacred works for six voices	Aestimatus sum	https://test.cpdl.org/wiki/index.php/Aestimatus_sum_(Carlo_Gesualdo)	1	mid	data/cpdl/6-voices/sources/023_aestimatus_sum__01_aestimatus_sum_gesualdo.mid	https://test.cpdl.org/wiki/images/1/19/Aestimatus_sum_Gesualdo.mid	Aestimatus_sum_Gesualdo.mid
23	Sacred works for six voices	Aestimatus sum	https://test.cpdl.org/wiki/index.php/Aestimatus_sum_(Carlo_Gesualdo)	2	mxl	data/cpdl/6-voices/sources/023_aestimatus_sum__02_aestimatus_sum_gesualdo.mxl	https://test.cpdl.org/wiki/images/f/f6/Aestimatus_sum_Gesualdo.mxl	Aestimatus_sum_Gesualdo.mxl
23	Sacred works for six voices	Aestimatus sum	https://test.cpdl.org/wiki/index.php/Aestimatus_sum_(Carlo_Gesualdo)	3	mid	data/cpdl/6-voices/sources/023_aestimatus_sum__03_tenebrae8.mid	https://test.cpdl.org/wiki/images/6/65/Tenebrae8.mid	Tenebrae8.mid
23	Sacred works for six voices	Aestimatus sum	https://test.cpdl.org/wiki/index.php/Aestimatus_sum_(Carlo_Gesualdo)	4	mxl	data/cpdl/6-voices/sources/023_aestimatus_sum__04_gesualdo_aestimatus_sum.mxl	https://test.cpdl.org/wiki/images/9/90/Gesualdo_Aestimatus_sum.mxl	Gesualdo_Aestimatus_sum.mxl
24	Sacred works for six voices	Ardens est cor meum	https://test.cpdl.org/wiki/index.php/Ardens_est_cor_meum_(Carlo_Gesualdo)	1	mxl	data/cpdl/6-voices/sources/024_ardens_est_cor_meum__01_14_ardens_est_cor_meum.mxl	https://test.cpdl.org/wiki/images/e/eb/14_Ardens_est_cor_meum.mxl	14_Ardens_est_cor_meum.mxl
25	Sacred works for six voices	Assumpta est Maria	https://test.cpdl.org/wiki/index.php/Assumpta_est_Maria_(Carlo_Gesualdo)	1	midi	data/cpdl/6-voices/sources/025_assumpta_est_maria__01_12_assumpta_est_maria.midi	https://test.cpdl.org/wiki/images/5/57/12_Assumpta_est_Maria.midi	12_Assumpta_est_Maria.midi
25	Sacred works for six voices	Assumpta est Maria	https://test.cpdl.org/wiki/index.php/Assumpta_est_Maria_(Carlo_Gesualdo)	2	mxl	data/cpdl/6-voices/sources/025_assumpta_est_maria__02_12_assumpta_est_maria.mxl	https://test.cpdl.org/wiki/images/7/74/12_Assumpta_est_Maria.mxl	12_Assumpta_est_Maria.mxl
26	Sacred works for six voices	Astiterunt reges terrae	https://test.cpdl.org/wiki/index.php/Astiterunt_reges_terrae_(Carlo_Gesualdo)	1	mid	data/cpdl/6-voices/sources/026_astiterunt_reges_terrae__01_astiterunt_reges_gesualdo.mid	https://test.cpdl.org/wiki/images/3/31/Astiterunt_reges_Gesualdo.mid	Astiterunt_reges_Gesualdo.mid
26	Sacred works for six voices	Astiterunt reges terrae	https://test.cpdl.org/wiki/index.php/Astiterunt_reges_terrae_(Carlo_Gesualdo)	2	mxl	data/cpdl/6-voices/sources/026_astiterunt_reges_terrae__02_astiterunt_reges_gesualdo.mxl	https://test.cpdl.org/wiki/images/d/d8/Astiterunt_reges_Gesualdo.mxl	Astiterunt_reges_Gesualdo.mxl
26	Sacred works for six voices	Astiterunt reges terrae	https://test.cpdl.org/wiki/index.php/Astiterunt_reges_terrae_(Carlo_Gesualdo)	3	mid	data/cpdl/6-voices/sources/026_astiterunt_reges_terrae__03_tenebrae7.mid	https://test.cpdl.org/wiki/images/2/23/Tenebrae7.mid	Tenebrae7.mid
26	Sacred works for six voices	Astiterunt reges terrae	https://test.cpdl.org/wiki/index.php/Astiterunt_reges_terrae_(Carlo_Gesualdo)	4	mxl	data/cpdl/6-voices/sources/026_astiterunt_reges_terrae__04_gesualdo_astiterunt_reges.mxl	https://test.cpdl.org/wiki/images/0/09/Gesualdo_Astiterunt_reges.mxl	Gesualdo_Astiterunt_reges.mxl
27	Sacred works for six voices	Ave sanctissima	https://test.cpdl.org/wiki/index.php/Ave_sanctissima_(Carlo_Gesualdo)	1	midi	data/cpdl/6-voices/sources/027_ave_sanctissima__01_04_ave_sanctissima.midi	https://test.cpdl.org/wiki/images/d/d5/04_Ave_sanctissima.midi	04_Ave_sanctissima.midi
27	Sacred works for six voices	Ave sanctissima	https://test.cpdl.org/wiki/index.php/Ave_sanctissima_(Carlo_Gesualdo)	2	mxl	data/cpdl/6-voices/sources/027_ave_sanctissima__02_04_ave_sanctissima.mxl	https://test.cpdl.org/wiki/images/5/56/04_Ave_sanctissima.mxl	04_Ave_sanctissima.mxl
28	Sacred works for six voices	Da pacem Domine	https://test.cpdl.org/wiki/index.php/Da_pacem_Domine_(Carlo_Gesualdo)	1	midi	data/cpdl/6-voices/sources/028_da_pacem_domine__01_02_da_pacem_domine.midi	https://test.cpdl.org/wiki/images/6/6a/02_Da_pacem_Domine.midi	02_Da_pacem_Domine.midi
