work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
83	Secular works for five voices	Cor mio, deh, non piangete	string_quartet_plus_viole	data/cpdl/5-voices/sources/083_cor_mio_deh_non_piangete__02_cor_mio_deh_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/083_cor_mio_deh_non_piangete.musicxml	5	ok	
84	Secular works for five voices	Correte, amanti, a prova	string_quartet_plus_viole	data/cpdl/5-voices/sources/084_correte_amanti_a_prova__02_gesu_13cor.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/084_correte_amanti_a_prova.musicxml	0	ok	
85	Secular works for five voices	Crudelissima doglia	string_quartet_plus_viole				data/cpdl/5-voices/reductions/string_quartet_plus_viole/085_crudelissima_doglia.musicxml		error	data/cpdl/5-voices/sources/085_crudelissima_doglia__01_gesualdo_crudelissima_doglia.mxl: reduction failed: Violin II has overlapping source events near measure 13: p1:e36
86	Secular works for five voices	Dalle odorate spoglie	string_quartet_plus_viole	data/cpdl/5-voices/sources/086_dalle_odorate_spoglie__02_dalle_odorate_spoglie_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/086_dalle_odorate_spoglie.musicxml	0	ok	
87	Secular works for five voices	Deh coprite il bel seno	string_quartet_plus_viole	data/cpdl/5-voices/sources/087_deh_coprite_il_bel_seno__02_gesu_16de.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/087_deh_coprite_il_bel_seno.musicxml	0	ok	
88	Secular works for five voices	Deh, come invan sospiro	string_quartet_plus_viole	data/cpdl/5-voices/sources/088_deh_come_invan_sospiro__02_deh_come_invan_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/088_deh_come_invan_sospiro.musicxml	0	ok	
89	Secular works for five voices	Deh, se già fu crudele	string_quartet_plus_viole				data/cpdl/5-voices/reductions/string_quartet_plus_viole/089_deh_se_gi_fu_crudele.musicxml		error	data/cpdl/5-voices/sources/089_deh_se_gia_fu_crudele__01_gesualdo_deh_se_gia_fu_crudele.mxl: reduction failed: Violin I has overlapping source events near measure 18: p0:e45
90	Secular works for five voices	Del bel de bei vostri occhi	string_quartet_plus_viole	data/cpdl/5-voices/sources/090_del_bel_de_bei_vostri_occhi__01_gesualdo_del_bel_de_bei_vostri_occhi.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/090_del_bel_de_bei_vostri_occhi.musicxml	0	ok	
91	Secular works for five voices	Dolce spirto d'amore	string_quartet_plus_viole	data/cpdl/5-voices/sources/091_dolce_spirto_d_amore__01_gesualdo_dolce_spirto_d_amore.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/091_dolce_spirto_d_amore.musicxml	2	ok	
92	Secular works for five voices	Dolcissima mia vita	string_quartet_plus_viole	data/cpdl/5-voices/sources/092_dolcissima_mia_vita__02_dolcissima_mia_vita_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/092_dolcissima_mia_vita.musicxml	2	ok	
